Date,Ticker,Open,High,Low,Close,Volume,Price Change,7-day MA Close,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,Year,Month,Day of Week,Close Standardized
2022-09-26 00:00:00+00:00,INTC,27.56,27.7,26.86,26.97,44786400,-0.59,,,,26.97,26.97,,2022,9,0,-0.8729
2022-09-27 00:00:00+00:00,INTC,27.4,27.6,26.62,26.89,44121400,-0.51,,,,26.9624,26.9669,,2022,9,1,-0.8843
2022-09-28 00:00:00+00:00,INTC,26.86,27.28,26.6,27.13,40433400,0.27,,,,26.9783,26.9733,,2022,9,2,-0.8501
2022-09-29 00:00:00+00:00,INTC,26.78,26.78,26.19,26.38,41831300,-0.4,,,,26.9214,26.95,,2022,9,3,-0.957
2022-09-30 00:00:00+00:00,INTC,26.3,26.57,25.74,25.77,43821000,-0.53,,,,26.8117,26.9037,,2022,9,4,-1.0438
2022-10-03 00:00:00+00:00,INTC,26.33,27.25,26.07,26.97,44096200,0.64,,,,26.8268,26.9063,,2022,10,0,-0.8729
2022-10-04 00:00:00+00:00,INTC,27.43,27.8,27.09,27.7,42427500,0.27,26.83,,,26.9099,26.9374,,2022,10,1,-0.769
2022-10-05 00:00:00+00:00,INTC,27.37,27.84,26.89,27.64,30120000,0.27,26.9257,,,26.9795,26.965,,2022,10,2,-0.7775
2022-10-06 00:00:00+00:00,INTC,27.44,27.76,27.0,27.18,33985100,-0.26,26.9671,,,26.9986,26.9734,,2022,10,3,-0.843
2022-10-07 00:00:00+00:00,INTC,26.17,26.28,25.65,25.72,57215500,-0.45,26.7657,,,26.8768,26.9243,,2022,10,4,-1.0509
2022-10-10 00:00:00+00:00,INTC,25.94,25.99,25.09,25.2,43409300,-0.74,26.5971,,,26.7171,26.8567,,2022,10,0,-1.125
2022-10-11 00:00:00+00:00,INTC,25.01,25.48,24.69,25.04,48134900,0.03,26.4929,,,26.5574,26.7854,,2022,10,1,-1.1478
2022-10-12 00:00:00+00:00,INTC,25.05,25.52,24.66,25.33,39634100,0.28,26.2586,,,26.4405,26.7283,,2022,10,2,-1.1065
2022-10-13 00:00:00+00:00,INTC,24.73,26.84,24.59,26.42,62447000,1.69,26.0757,,,26.4385,26.7162,46.4052,2022,10,3,-0.9513
2022-10-14 00:00:00+00:00,INTC,26.46,26.63,25.76,25.91,48185400,-0.55,25.8286,,,26.3882,26.6846,43.5049,2022,10,4,-1.0239
2022-10-17 00:00:00+00:00,INTC,26.31,26.75,26.17,26.42,39416500,0.11,25.72,,,26.3912,26.6743,47.2643,2022,10,0,-0.9513
